name,sku,price,compareToPrice,description,categories,imageUrl,quantity,weight,enabled
Norco Charger 1 (2025),NOR-CHG1-25,1899.00,,"Climb mountains, ride trails, but most of all, just get out there and go further.",Bikes/Mountain Bikes/Hardtail,https://cranks.com.au/wp-content/uploads/2024/norco-charger-1.jpg,5,,true
Norco Charger 2 (2025),NOR-CHG2-25,1649.00,,A hardtail that packs a lot of punch.,Bikes/Mountain Bikes/Hardtail,https://cranks.com.au/wp-content/uploads/2024/norco-charger-2.jpg,3,,true
Norco Storm 100 MTB 2025,NOR-STM100,999.00,,Progressive off-road design with features to help you discover your favourite way to ride.,Bikes/Mountain Bikes/Hardtail,https://cranks.com.au/wp-content/uploads/2024/norco-storm-100.jpg,8,,true
Scott Roxter 26 Disc MTB,SCO-ROX26,1200.00,899.00,"Suspension fork, disc brakes and a trusty Shimano drivetrain.",Bikes/Mountain Bikes/Hardtail,https://cranks.com.au/wp-content/uploads/2024/scott-roxter-26.jpg,2,,true
Scott Aspect 930 MTB,SCO-ASP930,1499.00,1199.00,"Hardtail designed to be light, efficient and reasonably priced.",Bikes/Mountain Bikes/Hardtail,https://cranks.com.au/wp-content/uploads/2024/scott-aspect-930.jpg,4,,true
Scott Scale 965 MTB,SCO-SC965,1999.00,1399.00,12-speed Shimano drivetrain and RockShox fork with Remote Lockout.,Bikes/Mountain Bikes/Hardtail,https://cranks.com.au/wp-content/uploads/2024/scott-scale-965.jpg,2,,true
Trek Marlin 7 Gen 3 MTB 2025,TRK-MRL7-25,1799.00,1499.00,Confidence-boosting trail geometry with RockShox suspension.,Bikes/Mountain Bikes/Hardtail,https://cranks.com.au/wp-content/uploads/2024/trek-marlin-7.jpg,6,,true
100% Accuri 2 Goggles,100-ACC2-BLK,89.00,,MTB goggles with clear lens and anti-fog coating.,Clothing/Eyewear/Goggles,https://cranks.com.au/wp-content/uploads/2024/100-accuri-2.jpg,12,,true
Fox Ranger MTB Gloves,FOX-RNG-GLV,59.00,,Lightweight trail gloves with touchscreen compatibility.,Clothing/Gloves,https://cranks.com.au/wp-content/uploads/2024/fox-ranger-gloves.jpg,25,,true
Shimano Deore XT Pedals,SHM-XT-PDL,179.00,,Clipless MTB pedals with adjustable tension.,Parts/Pedals and cleats/MTB,https://cranks.com.au/wp-content/uploads/2024/shimano-xt-pedals.jpg,10,,true
Maxxis Minion DHF 29 Tyre,MXX-DHF29,79.00,,Front tyre with aggressive tread for maximum grip.,Parts/Tyres/MTB/29,https://cranks.com.au/wp-content/uploads/2024/maxxis-minion-dhf.jpg,30,,true
Lezyne Macro Drive 1300 Light,LEZ-MAC1300,129.00,,1300 lumens front light with multiple modes.,Accessories/Lights,https://cranks.com.au/wp-content/uploads/2024/lezyne-macro-drive.jpg,15,,true
Micro Scooter Sprite,MIC-SPRT,169.00,,Foldable kids scooter for ages 5+.,Scooters/Kids Scooters,https://cranks.com.au/wp-content/uploads/2024/micro-sprite.jpg,8,,true
BYK E-350 Kids Bike,BYK-E350,449.00,,Lightweight kids bike designed for young riders.,Bikes/Kids Bikes/4-6 Yrs,https://cranks.com.au/wp-content/uploads/2024/byk-e350.jpg,4,,true
Trek Powerfly 5 E-MTB,TRK-PF5,6499.00,,Full suspension e-mountain bike with Bosch motor.,Bikes/E-Bikes/E-MTB,https://cranks.com.au/wp-content/uploads/2024/trek-powerfly-5.jpg,2,,true